,Título,Apoyos,Fecha,Categoría,Categoría Completa,Autores,URL,Descripción
0,PROGRAMA CONSTITUYENTE DE AUTOGOBIERNO TERRITORIAL LIBRE DETERMINACION Y ECONOMIA SOCIAL,673,2022-01-27 17:09:33,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por FENAPO Arica,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En la Ciudad de Arica, una Autoridad Superior (Jiliri) Política, Religiosa, Cultural, Militar y Comunitaria del Territorio Ajayu Chinchorro (Ajayu), lugar de encuentro de todas y todos, donde predominan las culturas Afro, Aymara, Quechua y Chinchorro que habitan hace más de 10.000 años este territorio y últimamente nombrada Patrimonio Mundial de la Humanidad por la UNESCO, esta Comunidad se compone de una diversidad de Pueblos Originarios en Arica que conservan y practican tradiciones ancestrales. Se representa a través de una orgánica que la conforma La Federación Nacional de Pobladoras y Pobladores de Chile (FENAPO Arica), miembro del Movimiento Territorial de los Pueblos (MTP), sus Organizaciones Comunitarias Federadas del Movimiento Social y Cultural Chinchorro (MSC). Declara que sus Principios se fundan en el Programa Constituyente de:
	Autogobierno Territorial
	Libre Determinación del Movimiento Social
	Economía Comunitaria
Existe un Plan de Acción que contiene áreas de trabajo y sus contenidos programáticos, una Estrategia y Táctica que tienen por objetivo la Ejecución del Programa Constituyente, a través de un Plan Maestro de Inclusión Social y Productiva Autosustentable con el Estado de Chile, el cual se encuentra en plena ejecución a través, de un Programa Urbanístico Habitacional (PUH) en el territorio recuperado con lucha, autogestión y que se Coordina con el Ministerio de Vivienda y Urbanismo (MINVU), bajo estándar de tratados internacionales como el Convenio 169 OIT y Habitad III de la ONU, entre otros y las Comunidades del el Ajayu.
Autogobierno
Hoy se mantienen una lucha histórica y permanente por recuperación de Territorio Indígena, con fuerte énfasis en el rescate y puesta en valor del patrimonio cultural ancestral que identifica a los pueblos originarios de la macro cuenca hidrográfica del océano pacifico en el cono sur del Abya Yala (América). La Comunidad del Ajayu,  actualmente se encuentra en proceso de control y ocupación del territo"
1,PARA EMPAREJAR  LA CACHA - INGRESOS MÁXIMOS DE LOS CARGOS DE ELECCIÓN POPULAR Y OBLIGACION DE INGRESAR A FONASA,3010,2022-01-26 00:26:06,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Charles Vidal S.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Que los servidores públicos de cargos electos ya sean, parlamentarios, alcaldes, gobernadores, cores, no sean cargos atractivos económicamente y que se incentive el real principio de servicio público. nadie debe ingresar al servicio publico para enriquecerse, debe entrar para servir. 
Se debe nivelar la cancha."
2,"Por el derecho al suelo, el barrio y la vivienda digna.",2432,2022-01-26 00:25:00,derechos,4 - Derechos Fundamentales,Por Comité Vivienda Digna El Frente Popular,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema de la vivienda es un problema histórico en Chile. el exorbitante valor del suelo, el difícil acceso por los costos y las políticas subsidiarias a la vivienda propia y el valor usurero de los arriendos (que en la mayoría de los casos y de forma histórica alcanza a un tercio del salario) han marcado por décadas las precarias condiciones de vida en la ciudad y en la mayoría de sus habitantes. Terrenos divididos y subdivididos, hacinamiento, insalubridad, proliferación de asentamientos en lugares riesgosos, etc. En la actualidad el problema de la vivienda alcanza un universo de afectación de 6.600.000 personas, esto es el 33,5% de la población del país, desglosado así: a) 20.000 personas viviendo en carpas en la calle; b) 81.643 familias, esto es 286.000 personas, viviendo en campamentos; c) un déficit cuantitativo de 500.000 viviendas, afectando a 1.750.000 personas; y un déficit cualitativo de 1.300.000 viviendas, afectando a 4.500.000 personas.
Se suma a esta problemática el creciente déficit urbano, expresado en ciudades desiguales, segregadas espacial y socialmente, con conocidas carencias en: cobertura de áreas verdes, infraestructura de transporte público, movilidad peatonal en ciudades, cobertura digital, de servicios y equipamientos, entre otros déficits.
Esta situación es resultado del actual sistema neoliberal y capitalista que permite enajenar el suelo del Estado (y por lo tanto de todos los habitantes de la república) a propietarios y/o empresas inmobiliarias que conforman verdaderas mafias inmobiliarias especulando con un recurso fundamental para la sociedad sólo en beneficio de las ganancias privadas. Esto y la política subsidiaria del Estado que se desvincula de asegurar a través de la administración directa del suelo de los planes y la construcción de las viviendas, mantiene a un tercio de la población del país sin poder acceder a la vivienda y a la gran mayoría de los trabajadores asalariados endeudados en un crédito hipotecario de por vi"
3,traer de vuelta el servicio militar obligatorio,460,2022-01-26 00:23:43,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Pablo Moscoso C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,la gente joven que esta sin pega o no tienen una opción si no dieron buenos resultados en la ptu
4,"RETIRO 100% AHORRO DE PENSIONES, TRABAJADORES DUEÑOS DE SUS AHORROS y ESTADO FINANCIANDO 100% NUEVO SISTEMA SOLIDARIO DE PENSIONES",2727,2022-01-26 00:22:45,derechos,4 - Derechos Fundamentales,Por Avanza La Libertad,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema es que a raíz de la inminente nacionalización de los fondos de pensiones anunciada por nuestro gobierno de Gabriel Boric, los trabajadores están en riesgo de perder sus ahorros de toda una vida de trabajo, lo que no corresponde ya que es responsabilidad del Estado generar los recursos y no usar el dinero de nuestros esforzados trabajadores del país."
5,Con mi plata si,102,2022-01-26 00:21:55,derechos,4 - Derechos Fundamentales,Por Felipe Carrasco G.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Pensiones bajas y lucro con las platas del sistema previsional
6,AUTONOMIA DEL SERVICIO DE IMPUESTOS INTERNOS UNA NECESIDAD SOCIAL,234,2022-01-26 00:20:57,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Roberto Sánchez S.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema que se busca solucionar es el gran desfalco a las arcas del estado en las últimas dos décadas producto de que el ente fiscalizador más importante del país que permite velar por obtener los recursos de todos los chilenos para implementar políticas públicas en bien de la sociedad en general; no puede hacer su labor debido a que quienes controlan este organismo es el Presidente de turno.
Ya en 2013 Chile transparente señalaba respecto del caso Johnson cuyo link se agrega (ttps://www.chiletransparente.cl/analisis-del-perdonazo-a-johnsons/ ) que según el último índice de percepción de corrupción de Transparencia Internacional, Chile se encontraba en el lugar 20 a nivel mundial, 17 dentro de los países de la OCDE y lidera junto a Uruguay en América Latina. Pese a los buenos números, el presidente de Chile Transparente, Gonzalo Delaveau, afirma que al país le queda mucho por avanzar en materia legislativa al respecto y asegura que para evitar los conflictos de interés en el sector público debe haber mayor probidad y debe haber cambios en la legislación que los regula."
7,Disolución de las Fuezas Armadas y reemplazo por La Fuerza de Protección y Paz,332,2022-01-26 00:19:35,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Martín Carrillo O.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Las Fuerzas Armadas están obsoletas como institución, como concepto y como función al servicio de la sociedad"
8,MUERTE ASISTIDA GARANTIZADA EN CHILE,1052,2022-01-26 00:18:26,derechos,4 - Derechos Fundamentales,Por G. Sebastián G. Parra,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Derecho a una muerte asistida digna mediante el uso de euthanasia u otro mecanismo de muerte asistida.
9,Derecho y deber al RESPETO ,65,2022-01-26 00:17:12,derechos,4 - Derechos Fundamentales,Por Carlos Behnke R.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Toda chilena, todo chileno habitante o nacido del país tiene derecho a ser respetado y debe respetar, independiente de su origen, condición social , preferencia en cualquier ámbito de la convivencia. Prevaleciendo la dignidad, la condición humana y el respeto a la vida."
